zip,donations,estimate,total,donations_per_1000
20601,1425,25517,35154.4,55.84512285927029
20602,897,26550,22974.03999999998,33.78531073446327
20603,1449,31975,54640.36000000012,45.316653635652855
20606,21,374,293.59999999999997,56.14973262032086
20607,578,10843,12869.199999999992,53.30628054966338
20608,26,860,960.7,30.232558139534884
20609,48,1151,2305.4399999999996,41.70286707211121
20611,35,1634,826.2,21.419828641370867
20612,146,203,717.07,719.2118226600985
20613,1242,14020,21712.14999999992,88.58773181169758
20615,156,421,2400.2400000000016,370.54631828978626
20616,292,6389,6938.1399999999985,45.703552981687274
20617,122,832,2581.13,146.6346153846154
20618,111,406,3086.189999999999,273.3990147783251
20619,1321,15052,50741.130000000056,87.76242359819294
20620,163,1369,5863.94,119.06501095690285
20621,39,960,1845.489999999999,40.625
20622,383,6887,17405.309999999994,55.61202265137215
20623,103,2997,2147.4399999999996,34.367701034367705
20624,18,1409,727.2300000000001,12.7750177430802
20625,26,646,1835.3699999999997,40.247678018575854
20626,16,304,1488.6,52.63157894736842
20628,88,477,2661.529999999999,184.48637316561843
20630,57,301,8129.480000000001,189.3687707641196
20632,74,432,1660.4599999999996,171.2962962962963
20634,2590,6478,41293.05999999995,399.8147576412473
20636,1831,10805,39801.99999999989,169.45858398889402
20637,1342,5751,50569.88999999994,233.3507216136324
20639,4060,15793,78700.29000000027,257.0759197112645
20640,1132,10333,23500.449999999957,109.55192102971063
20645,104,749,2337.07,138.85180240320426
20646,5750,21951,92164.8600000004,261.9470639150836
20650,6687,14672,111278.18000000074,455.7660850599782
20653,2289,24274,45948.46000000004,94.29842629974458
20657,1350,19226,80439.92000000038,70.21741391865183
20658,11,848,1121.18,12.971698113207548
20659,3755,23312,91069.19000000054,161.07584076870282
20660,2,0,2000,Inf
20662,133,2876,9742.390000000005,46.24478442280946
20664,281,3462,8245.47,81.16695551704217
20667,30,633,1417.13,47.393364928909946
20670,19,1441,705.89,13.1852879944483
20674,209,848,9114.100000000006,246.46226415094338
20675,131,2017,4188.69,64.94794248884482
20676,691,3848,23146.85999999999,179.57380457380455
20677,10510,2416,52261.30000000037,4350.165562913907
20678,2547,12261,50940.49999999995,207.7318326400783
20680,44,934,1978.8,47.109207708779444
20684,75,1066,3987.879999999999,70.35647279549718
20685,1045,6942,30678.48999999994,150.5329876116393
20686,5,1775,389.33,2.8169014084507045
20687,7,448,244.3,15.625
20688,2245,1749,37209.47999999994,1283.5906232132647
20689,49,2081,2773.0099999999993,23.546371936568956
20690,735,905,14588.270000000004,812.1546961325968
20692,20,899,1091.63,22.24694104560623
20693,52,833,1714.5400000000006,62.4249699879952
20695,426,8089,14520.069999999992,52.66411175670664
20701,15,92,1439.86,163.04347826086956
20705,805,27663,22559.73999999999,29.100242200773597
20706,1107,43670,29126.840000000055,25.34920998397069
20707,1548,32798,34556.44999999992,47.197999878041344
20708,789,27843,54085.47,28.33746363538412
20710,72,9553,2001.2699999999995,7.536899403328797
20711,727,7413,37307.29999999996,98.07095642789695
20712,173,9608,4516.9000000000005,18.005828476269777
20714,382,4683,12063.769999999988,81.5716421097587
20715,4184,27556,142469.33000000103,151.83626070547248
20716,1680,22237,27480.630000000012,75.54975940999235
20720,1111,22971,34529.47999999995,48.365330198946495
20721,535,29730,14887.369999999986,17.995290951900436
20722,233,5728,3351.6400000000003,40.677374301675975
20723,1100,35411,43215.24999999997,31.06379373640959
20724,696,17513,11786.809999999992,39.741906012676296
20732,1193,9820,30932.33999999991,121.4867617107943
20733,781,2777,35883.32,281.2387468491178
20735,1180,38220,22491.139999999927,30.87388801674516
20736,765,9248,36527.33999999994,82.72058823529412
20737,225,22295,5443.21,10.091948867459072
20740,1193,31349,56220.70999999998,38.05544036492392
20742,1,6726,1,0.14867677668748142
20743,183,37888,4492.559999999999,4.830025337837838
20744,2353,54925,35052.24999999999,42.84023668639053
20745,1032,27790,53411.80999999974,37.13566030946384
20746,140,27041,2967.6399999999994,5.1773233238415735
20747,375,40484,12687.24,9.262918683924513
20748,653,38904,14587.360000000004,16.78490643635616
20751,672,2091,10915.30000000001,321.377331420373
20754,1336,7124,44534.28999999998,187.5350926445817
20755,167,10873,4977.139999999996,15.359146509702933
20758,135,451,4327.030000000003,299.33481152993346
20759,1027,5311,36052.18999999997,193.37224628130295
20762,48,3079,14706.78,15.589477102955504
20763,71,1635,3276.5099999999993,43.42507645259939
20764,462,3829,12968.499999999998,120.6581352833638
20765,522,407,6221.2599999999975,1282.5552825552827
20769,210,6222,15896.250000000004,33.751205400192866
20770,496,24560,21328.50999999997,20.195439739413683
20772,1389,45321,31955.939999999937,30.64804395313431
20774,841,47165,21914.559999999983,17.831018763913917
20776,1963,3271,65721.77000000003,600.122286762458
20777,293,3687,20180.67,79.4684024952536
20778,393,2079,16143.259999999997,189.03318903318902
20779,125,993,5277.000000000001,125.88116817724068
20781,158,11694,10096.329999999998,13.511202325979134
20782,7196,33398,26050.830000000293,215.46200371279716
20783,527,45302,9823.730000000003,11.633040483863848
20784,379,30270,17513.350000000002,12.520647505781302
20785,651,38878,38606.709999999955,16.74468851278358
20794,793,17939,15510.410000000007,44.20536261776019
20812,15,309,2051.1,48.543689320388346
20814,2487,29021,202639.16000000053,85.69656455670031
20815,3805,30664,721210.8099999983,124.08687711974954
20816,2495,16316,284897.07999999885,152.91738171120372
20817,3009,37315,522987.4099999978,80.6378132118451
20818,316,1971,18863.17999999999,160.32470826991374
20832,3362,26437,114980.55000000096,127.17025381094679
20833,963,7369,30259.05999999992,130.68258922513232
20837,3241,6287,57977.12000000006,515.5081915062827
20838,24,302,941.08,79.47019867549669
20839,18,97,512.8499999999999,185.56701030927834
20841,744,11443,21229.879999999983,65.01791488246089
20842,136,1676,10108.009999999997,81.14558472553699
20850,5886,53176,203583.64000000097,110.6890326463066
20851,719,15489,18287.63,46.42004002840726
20852,4380,46178,157263.340000001,94.85036164407295
20853,2626,31061,124813.38000000051,84.54331798718651
20854,12131,49189,944799.1799999998,246.62017930838195
20855,2795,15287,92437.87000000042,182.83508863740434
20860,292,2855,14416.610000000002,102.276707530648
20861,257,1449,11465.850000000008,177.36369910282954
20862,70,341,3784.6399999999976,205.27859237536657
20866,1219,16365,25807.389999999996,74.4882370913535
20868,122,780,2218.01,156.4102564102564
20871,4612,18628,80923.96000000063,247.58428172643332
20872,1755,12603,39932.7499999999,139.25255891454415
20874,4528,61087,132768.29000000193,74.12379065922373
20876,3321,30778,59598.96000000026,107.90174800181948
20877,4482,38423,135030.5500000012,116.64888217994431
20878,6764,63030,261582.07000000097,107.31397747104555
20879,1423,26164,46258.66000000008,54.38770830148296
20880,2579,547,3529.360000000013,4714.808043875686
20882,2077,13988,55039.370000000104,148.48441521303977
20886,2666,34834,44448.79999999998,76.53442039386806
20895,1821,19026,84943.84000000029,95.71113213497318
20896,54,775,6205.740000000002,69.6774193548387
20901,1373,36278,39357.02999999992,37.846628810849545
20902,2665,52908,111594.10000000116,50.3704543736297
20903,587,27973,24608.239999999972,20.98452078790262
20904,3751,55275,162519.77000000112,67.86069651741293
20905,1413,18662,51927.54000000004,75.71535741078127
