POLL_PLACE_ID,JURISDICTION,COUNTY_NAME,ED_PRECINCT,POLL_NAME,POLL_ADDRESS1,CITY,STATE,ZIP,LEGISLATIVE_SUB_DISTRICT_CODE,SENATORIAL_DISTRICT_CODE,CONGRESSIONAL_DISTRICT_CODE,JUDICIAL_DISTRICT_CODE,APPELLATE_DISTRICT_CODE,COUNCILMANIC_DISTRICT_CODE,COMMISSIONER_DISTRICT_CODE,SCHOOL_DISTRICT_CODE,ORPHAN_DISTRICT_CODE,ELECTION_DISTRICT_CODE,MUNICIPAL_DISTRICT_CODE,BUILDING_TYPE,COLLEGE_NEARBY,COLLEGE_NAME,IS_EARLY_VOTING,Column1
1000000,1,Allegany County,1000,ORLEANS VOLUNTEER FIRE DEPT.,"12210 ORLEANS ROAD, NE",LITTLE ORLEANS,MD,21766,,,,,,,,,,,,FIRE STATION,0,,0,
1000042,1,Allegany County,2000,OLDTOWN VOLUNTEER FIRE DEPT.,18712 OLDTOWN ROAD SE,OLDTOWN,MD,21555,,,,,,,,,,,,FIRE STATION,0,,0,
750000369,1,Allegany County,3000,FLINTSTONE VOLUNTEER FIRE DEPARTMENT,21701 FLINTSTONE DRIVE NE,FLINTSTONE,MD,21530,,,,,,,,,,,,FIRE STATION,0,,0,
1000003,1,Allegany County,4000,FORT HILL HIGH SCHOOL,500 GREENWAY AVENUE,CUMBERLAND,MD,21502,,,,,,,,,,,,SCHOOL,0,,0,
750001168,1,Allegany County,5000,BRADDOCK MIDDLE SCHOOL,909 HOLLAND STREET,CUMBERLAND,MD,21502,,,,,,,,,,,,SCHOOL,0,,0,
750000399,1,Allegany County,6005,ALLEGANY HIGH SCHOOL,900 SETON DRIVE,CUMBERLAND,MD,21502,,,,,,,,,,,,SCHOOL,0,,0,
1000013,1,Allegany County,6006,ALL. CTY.  MULTI-PURPOSE BLDG.,11490 MOSS AVENUE SW,CUMBERLAND,MD,21502,,,,,,,,,,,,OTHER,0,,0,
1000014,1,Allegany County,7001,CRESAPTOWN ELEMENTARY SCHOOL,"13202 SIXTH AVENUE, SW",CRESAPTOWN,MD,21502,,,,,,,,,,,,SCHOOL,0,,0,
1000015,1,Allegany County,7002,BEL AIR ELEMENTARY SCHOOL,"14401 BARTON BLVD., SW",CUMBERLAND,MD,21502,,,,,,,,,,,,SCHOOL,0,,0,
1000016,1,Allegany County,8000,WESTERNPORT ELEM. SCHOOL,172 CHURCH STREET,WESTERNPORT,MD,21562,,,,,,,,,,,,SCHOOL,0,,0,
